RFP,RBP,RFV,RBV,RZA,RXA,RZG,LFP,LBP,LFV,LBV,LZA,LXA,LZG,M
,13.61,165,26,-8.53,-1.8,0.1,1.34,90.38,,123.1,-8.23,5.38,0.1,1013
,4.73,143,7.1,-8.6,-1.89,0.02,9.62,76.28,,161.1,-8.06,6.31,0.04,1018
99.77,0.23,88.1,0.2,-9.16,0.56,0.08,23.72,74.58,,188.1,-8.99,4.16,-0.09,1023
,0.14,143.1,0.2,-9.47,-2.29,0.1,25.42,92.35,,158.1,-9.78,3.31,-0.16,1028
,0.16,123,0.2,-8.23,-1.81,0.42,7.65,88.74,,111.1,-9.11,4.2,-0.31,1033
,7.42,151,12.1,-8.13,-2.48,0.15,11.26,89.87,6.1,54.1,-9.28,3.45,-0.14,1038
,5.78,132.1,8.1,-8.78,1.41,0.18,10.13,98.84,0.2,17.1,-8.74,2.59,-0.23,1043
,0.11,182,0.2,-8.16,-2.88,0.52,1.16,50,0.2,0.2,-8.32,5.37,-0.49,1048
,0.18,112,0.2,-8.53,-1.32,-0.06,50,93.76,6,90.1,-9.75,0.17,0.15,1053
50,50,0.2,0.2,-7.24,-2.86,-0.35,6.24,95.62,,155.1,-9.9,1.65,0.49,1058
77.56,22.44,59.1,17.1,-8.5,-3.52,-0.05,4.38,99.89,,179.1,-9.45,1.92,0.05,1063
93.95,6.05,48.1,3.1,-8.42,-3.46,0.09,0.11,82.83,,121.1,-8.67,4.2,0.08,1068
89.45,10.55,94.1,11.1,-8.11,-3.72,0.16,17.17,65.78,14.1,27.1,-7.56,6.33,0.11,1073
,8.13,182,16.1,-7.85,-4.07,0.04,34.22,41.45,41.1,29.1,-8.34,5.24,0.03,1078
,9.18,178,18,-8.22,-3.15,-0.11,58.55,67.47,12.1,25.1,-8.56,3.59,-0.03,1083
,0.68,160,1.1,-9.24,1.19,-0.08,32.53,99.82,,113.1,-8.96,1.81,0.04,1088
,7.73,179,15,-9.2,0.08,0.03,0.18,72.7,,181.1,-9.59,1.76,0.03,1093
,9.33,204,21,-9.09,-0.22,0.08,27.3,72.74,,200.1,-9.58,0.69,0.07,1098
,8.21,190,17,-8.5,-2.09,0.02,27.26,76.68,,207.1,-8.38,3.95,0.04,1103
,0.15,137,0.2,-9.31,0.28,0.07,23.32,84.04,,221.1,-9.31,3.84,0.03,1108
,0.66,165,1.1,-8.58,-1.73,0.21,15.96,73.11,,163.1,-8.54,6.13,0.05,1113
,0.09,235,0.2,-9.11,-1.69,-0.05,26.89,72.9,,207.1,-8.95,3.27,0.02,1118
,0.08,237,0.2,-8.76,-1.72,-0.14,27.1,72.67,,186.1,-9.71,1.01,0.04,1123
,4.64,144,7,-9.56,1.57,0.04,27.33,73.15,,226.1,-9.43,2.11,0,1128
,15.99,147.1,28,-8.99,0.1,0.08,26.85,78.24,,266.1,-9.75,0.9,0.05,1133
,14.65,163.1,28,-9.22,0.1,0.05,21.76,76.03,,279.1,-9.68,0.92,0.05,1138
,11.22,174,22,-9.05,-0.69,0.16,23.97,69.26,,223.1,-9.64,0.92,0.08,1143
,6.43,147,10.1,-8.85,-2.15,0.22,30.74,54.79,76,92.1,-8.75,4.68,0.06,1148
,9.05,182,18.1,-8.08,-3.01,0.08,45.21,44.63,113,91.1,-8.6,5,0.05,1153
,8.98,223,22,-8.33,-2.67,0.05,,46.11,,112.1,-8.72,4.36,0.03,1158
,7.66,206,17.1,-8.35,-2.57,0.01,,40.79,125,86.1,-8.82,4.32,0.01,1163
,0.12,173,0.2,-9.16,-0.62,-0.13,,60.63,,114.1,-9.36,0.58,-0.01,1168
99.75,0.25,80.1,0.2,-9.33,0.93,-0.1,39.37,92.3,,193.1,-9.8,0.04,0.05,1173
,1.28,162,2.1,-9.3,-0.08,0.14,7.7,98.49,,202.1,-9.34,3.09,0.05,1178
,0.14,147.1,0.2,-8.9,-1.76,-0.12,1.51,96.32,,238.1,-9.95,-0.5,0.04,1183
98.14,1.86,58.1,1.1,-9.52,0.53,0.05,3.68,99.9,,193.1,-9.79,0.03,0.05,1188
94.01,5.99,80.1,5.1,-9.39,0.31,0.19,0.1,91.39,,192.1,-9.5,0.79,0.05,1193
,17.65,154,33,-8.95,-1.24,0.2,8.61,75.07,,205.1,-9.22,3.63,0.07,1198
,0.14,145,0.2,-7.81,-3.64,0.06,24.93,75.93,,199.1,-8.88,3.77,0.03,1203
,2.58,189,5,-8.6,-2.38,0.02,24.07,70.72,,198.1,-9.13,3.9,0.03,1208
,15.79,176,33,-8.49,-2.3,-0.03,29.28,76.08,,207.1,-9.15,3.73,-0.01,1213
,22.96,114.1,34,-8.82,-0.87,-0.12,23.92,82.63,,224.1,-9.53,1.68,-0.02,1218
,22.29,108.1,31,-9.27,1.52,0.11,17.37,96.28,,261.1,-9.83,0.96,0.01,1223
,22.42,121.1,35,-9.36,0.1,0.16,3.72,88.76,,206.1,-9.58,0.56,0,1228
,6.2,183,12.1,-9.56,0.79,0.03,11.24,84.85,,230.1,-9.6,0.55,0.02,1233
91.89,8.11,69.1,6.1,-9.45,1.41,0.07,15.15,99.9,,197.1,-9.74,0.3,0.13,1238
,5.07,133,7.1,-8.96,-1.36,0.1,0.1,90.4,,207.1,-9.22,3.85,0.03,1243
,0.15,137.1,0.2,-8.56,-1.98,-0.18,9.6,96.69,,207.1,-9.7,0.69,0.01,1248
71.55,28.45,98.1,39,-9.12,0.03,0.05,3.31,94.79,,293.1,-9.62,0.73,0.08,1253
,22.52,117,34,-9.1,-0.72,0.21,5.21,85.41,,217.1,-9.35,3.66,0.04,1258
,11.06,177,22,-8.47,-2.75,0.02,14.59,84.04,,211.1,-9.47,2.61,0.03,1263
